SNMPv2-SMI::transmission.127.1.1.4.1.2.396840 = Counter32: 4047737540;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396841 = Counter32: 3674752786;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396842 = Counter32: 3672247932;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396843 = Counter32: 3583538993;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396844 = Counter32: 2446126556;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396845 = Counter32: 1992807701;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396888 = Counter32: 2420403420;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396889 = Counter32: 1842227745;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396890 = Counter32: 1548534328;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.396891 = Counter32: 1331495586;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.398952 = Counter32: 1608371337;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.398953 = Counter32: 1064587478;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.398954 = Counter32: 943940954;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.398955 = Counter32: 926117929;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.398956 = Counter32: 2919633016;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.398957 = Counter32: 2641357396;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.398958 = Counter32: 2052108913;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.398959 = Counter32: 2344631409;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.399000 = Counter32: 3445392764;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.399001 = Counter32: 2902910967;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.399002 = Counter32: 697698686;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.399003 = Counter32: 381915910;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.399008 = Counter32: 330601439;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.399009 = Counter32: 936798982;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.399010 = Counter32: 2937312105;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.399011 = Counter32: 2944381478;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.399012 = Counter32: 3866721928;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.399013 = Counter32: 3591517935;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.399048 = Counter32: 0;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.399049 = Counter32: 0;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.399050 = Counter32: 0;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.399051 = Counter32: 0;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.399052 = Counter32: 0;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.399053 = Counter32: 0;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.399056 = Counter32: 2698903808;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.399057 = Counter32: 2770414848;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.399058 = Counter32: 2715514846;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.399059 = Counter32: 6366619;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.399060 = Counter32: 2359344;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.399061 = Counter32: 1581920;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.3.389740 = Counter32: 5867677;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.3.389741 = Counter32: 4757237;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.3.389742 = Counter32: 2196788;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.3.389743 = Counter32: 1557845;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.3.389744 = Counter32: 280509900;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.3.389745 = Counter32: 183407300;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.3.389746 = Counter32: 184470826;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.3.389747 = Counter32: 15533143;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.3.389748 = Counter32: 16850549;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.3.389749 = Counter32: 3594743;127.0.192.8 
